Country  	Demonym
Lesotho 	Mosotho (plural Basotho)
Liberia 	Liberian
Libya 	Libyan
Liechtenstein 	Liechtensteiner
Lithuania 	Lithuanian
Luxembourg 	Luxembourger
Macedonia 	Macedonian
Madagascar 	Malagasy
Malawi 	Malawian
Malaysia 	Malaysian
Maldives 	Maldivan
Mali 	Malian
Malta 	Maltese
Marshall Islands 	Marshallese
Mauritania 	Mauritanian
Mauritius 	Mauritian
Mexico 	Mexican
Federated States of Micronesia 	Micronesian
Moldova 	Moldovan
Monaco 	Monegasque or Monacan
Mongolia 	Mongolian
Morocco 	Moroccan
Mozambique 	Mozambican
Myanmar (Burma) 	Burmese or Myanmarese
Namibia 	Namibian
Nauru 	Nauruan
Nepal 	Nepalese
Netherlands 	Netherlander, Dutchman, Dutchwoman, Hollander or Dutch (collective)
New Zealand 	New Zealander or Kiwi
Nicaragua 	Nicaraguan
Niger 	Nigerien
Nigeria 	Nigerian
Norway 	Norwegian
Oman 	Omani
Pakistan 	Pakistani
Palau 	Palauan
Panama 	Panamanian
Papua New Guinea 	Papua New Guinean
Paraguay 	Paraguayan
Peru 	Peruvian
Philippines 	Filipino
Poland 	Pole or Polish
Portugal 	Portuguese
Qatar 	Qatari
Romania 	Romanian
Russia 	Russian
Rwanda 	Rwandan
Saint Kitts and Nevis 	Kittian and Nevisian
Saint Lucia 	Saint Lucian
Samoa 	Samoan
San Marino 	Sammarinese or San Marinese
Sao Tome and Principe 	Sao Tomean
Saudi Arabia 	Saudi or Saudi Arabian
Senegal 	Senegalese
Serbia and Montenegro 	Serbian or Montenegrin
Seychelles 	Seychellois
Sierra Leone 	Sierra Leonean
Singapore 	Singaporean
Slovakia 	Slovak or Slovakian
Slovenia 	Slovene or Slovenian
Solomon Islands 	Solomon Islander
Somalia 	Somali
South Africa 	South African
Spain 	Spaniard or Spanish
Sri Lanka 	Sri Lankan
Sudan 	Sudanese
Suriname 	Surinamer
Swaziland 	Swazi
Sweden 	Swede or Swedish
Switzerland 	Swiss
Syria 	Syrian
Taiwan 	Taiwanese
Tajikistan 	Tajik or Tadzhik
Tanzania 	Tanzanian
Thailand 	Thai
Togo 	Togolese
Tonga 	Tongan
Trinidad and Tobago 	Trinidadian or Tobagonian
Tunisia 	Tunisian
Turkey 	Turk or Turkish
Turkmenistan 	Turkmen(s)
Tuvalu 	Tuvaluan
Uganda 	Ugandan
Ukraine 	Ukrainian
United Arab Emirates 	Emirian or Emirati
United Kingdom 	Briton or British (collective) (or Englishman or Englishwoman) (or Scot or Scotsman or Scotswoman) (or Welshman or Welshwoman) (or Northern Irishman or Northern Irishwoman or Irish [collective] or Northern Irish [collective])
United States 	American
Uruguay 	Uruguayan
Uzbekistan 	Uzbek or Uzbekistani
Vanuatu 	Ni-Vanuatu
Vatican City (Holy See) 	none
Venezuela 	Venezuelan
Vietnam 	Vietnamese
Yemen 	Yemeni or Yemenite
Zambia 	Zambian
Zimbabwe 	Zimbabwean
